datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,sunelevation,icon
2019-09-24,26.9,14,19.6,26.4,14,19.5,67,0.186,100,4.17,rain,0,0,17.6,33,1011.6,51.3,10.2,136.9,11.9,6,,2019-09-24T06:51:22,2019-09-24T18:57:14,0.85,48.7,rain
2019-09-25,22.1,17,19.5,22.1,17,19.5,78.7,0.809,100,4.17,rain,0,0,14.3,18.3,1010.5,68.9,10.1,62.6,5.4,3,,2019-09-25T06:52:22,2019-09-25T18:55:33,0.88,48.3,rain
2019-09-26,24.9,17.5,20.8,24.9,17.5,20.8,76.3,0,0,0,,0,0,15.2,235.7,1012.5,48.5,9.7,180.5,15.7,7,,2019-09-26T06:53:22,2019-09-26T18:53:51,0.92,47.9,partly-cloudy-day
2019-09-27,23.1,18,20.8,23.1,18,20.8,76.9,7.469,100,12.5,rain,0,0,21.4,270,1014.5,53.9,9.8,131.7,11.4,7,,2019-09-27T06:54:23,2019-09-27T18:52:10,0.95,47.5,rain
2019-09-28,24.6,15.5,19.5,24.6,15.5,19.5,73.3,0,0,0,,0,0,20,47.9,1019.2,18.6,10.2,143.5,12.1,6,,2019-09-28T06:55:23,2019-09-28T18:50:28,0,47.1,clear-day
2019-09-29,24.9,13.1,19.6,24.9,13.1,19.6,69.2,0,0,0,,0,0,14.3,19.3,1016.2,3.1,10.2,188.1,16.1,7,,2019-09-29T06:56:24,2019-09-29T18:48:47,0.02,46.7,clear-day
2019-09-30,26.3,14.1,20.4,26.3,14.1,20.4,60.9,0,0,0,,0,0,15.7,111.9,1012.2,0,10.1,190.3,16.2,7,,2019-09-30T06:57:25,2019-09-30T18:47:07,0.05,46.3,clear-day
2019-10-01,28.3,16,22,27.8,16,21.9,61.5,0,0,0,,0,0,13.9,19.6,1012.5,1.7,10.1,179.1,15.7,7,,2019-10-01T06:58:26,2019-10-01T18:45:26,0.09,45.9,clear-day
2019-10-02,27.9,18,21.8,28.8,18,21.9,75.6,0,0,0,,0,0,18.4,28.6,1010.5,7,9.7,168,14.6,7,,2019-10-02T06:59:28,2019-10-02T18:43:46,0.12,45.6,clear-day
2019-10-03,29,18.4,23.1,28.2,18.4,23,64.6,0,0,0,,0,0,15.7,247.7,1009.3,2.7,8.5,180.6,15.5,7,,2019-10-03T07:00:30,2019-10-03T18:42:07,0.15,45.2,clear-day
2019-10-04,30.9,20.5,24.6,29.5,20.5,24.3,54.7,0,0,0,,0,0,57.6,246.5,1009.5,29.3,10.1,171.8,14.8,6,,2019-10-04T07:01:31,2019-10-04T18:40:27,0.19,44.8,partly-cloudy-day
2019-10-05,21,16,18.1,21,16,18.1,81.3,9.035,100,12.5,rain,0,1,69.8,0.4,1007.8,70.2,9.6,41.4,3.7,2,,2019-10-05T07:02:34,2019-10-05T18:38:49,0.25,44.4,rain
2019-10-06,19.1,13.1,16,19.1,13.1,16,76.1,18.025,100,12.5,rain,0,0.4,30.7,16.1,1010.8,63.5,10.1,85.9,7.4,6,,2019-10-06T07:03:36,2019-10-06T18:37:10,0.25,44,rain
2019-10-07,20.2,10.2,15.8,20.2,10.2,15.8,72.1,0,0,0,,0,0,23.6,36.5,1012.7,44,10.2,136.5,11.8,6,,2019-10-07T07:04:39,2019-10-07T18:35:32,0.28,43.6,partly-cloudy-day
2019-10-08,15.5,13.1,14.6,15.5,13.1,14.6,93.2,12.262,100,16.67,rain,0,0,26.4,37.8,1018,68.8,9.1,62.8,5.3,3,,2019-10-08T07:05:42,2019-10-08T18:33:55,0.32,43.2,rain
2019-10-09,22.5,12.5,16.6,22.5,12.5,16.6,77.6,0,0,0,,0,0,18.9,41.2,1022.5,28.5,10.2,203.4,17.5,7,,2019-10-09T07:06:45,2019-10-09T18:32:18,0.35,42.8,partly-cloudy-day
2019-10-10,22,12.6,17.5,22,12.6,17.5,77.8,0,0,0,,0,0,29.5,250.2,1018.6,10.6,10,200.7,17.5,7,,2019-10-10T07:07:48,2019-10-10T18:30:42,0.38,42.5,clear-day
2019-10-11,22.1,16,18.4,22.1,16,18.4,79.4,0.008,100,4.17,rain,0,0,20.5,27,1021,53.7,10.1,134.7,11.7,6,,2019-10-11T07:08:52,2019-10-11T18:29:06,0.42,42.1,rain
2019-10-12,23.1,15.5,18.2,23.1,15.5,18.2,76.9,0,0,0,,0,0,26.4,37.7,1024.6,21.3,10.1,197.6,17.1,7,,2019-10-12T07:09:57,2019-10-12T18:27:31,0.45,41.7,partly-cloudy-day
2019-10-13,23.9,13.1,17.7,23.9,13.1,17.7,81.3,0,0,0,,0,0,16.6,33.3,1022.6,14.9,9.6,199.8,17.4,7,,2019-10-13T07:11:01,2019-10-13T18:25:57,0.48,41.3,clear-day
