datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,sunelevation,icon
2022-01-02,12,8,9.7,12,7.3,9.3,92.3,0.995,100,8.33,rain,,0,17.5,19.6,1023.5,85,9.2,24.9,2,1,,2022-01-02T08:27:16,2022-01-02T17:45:52,26.2,rain
2022-01-03,14.1,5.2,9.9,14.1,4.2,9.6,76.1,0,0,0,,,0,25.4,240,1018.6,49.5,10.3,91.7,8,4,,2022-01-03T08:27:19,2022-01-03T17:46:45,26.3,partly-cloudy-day
2022-01-04,14,9.1,11.9,14,9.1,11.9,71.8,0,0,0,,,0,29.4,254.5,1015.6,42,10.4,101.4,8.6,4,,2022-01-04T08:27:20,2022-01-04T17:47:39,26.4,partly-cloudy-day
2022-01-05,16.3,8,12.4,16.3,7,12.2,71.8,0,0,0,,,0,30,238.3,1012.6,27.1,10.4,107.4,9.4,4,,2022-01-05T08:27:19,2022-01-05T17:48:35,26.5,partly-cloudy-day
2022-01-06,18.2,12.5,15.4,18.2,12.5,15.4,66.7,0,0,0,,,0,35.2,251.1,1012.8,54.6,10.4,108.1,9.4,4,,2022-01-06T08:27:16,2022-01-06T17:49:32,26.6,partly-cloudy-day
2022-01-07,14.7,9.3,11.2,14.7,6.3,11.1,88.7,0.063,100,8.33,rain,,0,22.8,29.6,1017.4,81.2,9.6,22.2,1.9,1,,2022-01-07T08:27:10,2022-01-07T17:50:30,26.8,rain
2022-01-08,12.9,9.1,10.3,12.9,6.7,9.5,93.7,0.028,100,12.5,rain,,0,27.5,34.7,1014.6,89.6,8.8,43.9,3.7,2,,2022-01-08T08:27:02,2022-01-08T17:51:30,26.9,rain
2022-01-09,14,7.2,9.8,14,4.8,8.9,90.1,0,0,0,,,0,13.4,39.3,1006.6,81.6,4.9,61.2,5.4,3,,2022-01-09T08:26:52,2022-01-09T17:52:31,27,partly-cloudy-day
2022-01-10,12.1,9.1,10.3,12.1,5.8,9,91.9,1.243,100,8.33,rain,0,0,18.8,31.7,1002.2,89,9.4,41.8,3.7,2,10,2022-01-10T08:26:40,2022-01-10T17:53:33,27.2,rain
2022-01-11,10.2,7.1,8.8,10.2,2.1,5.5,95.8,0.047,100,8.33,rain,0,0,53.6,42.9,1009.2,88.4,8.9,20,1.7,2,10,2022-01-11T08:26:25,2022-01-11T17:54:36,27.3,rain
2022-01-12,7,1.2,3.4,2.1,-5,-2.3,93.6,15.763,100,12.5,"rain,snow",0.7,0.9,56.5,23.7,1020.1,90,7.7,15.9,1.4,1,10,2022-01-12T08:26:08,2022-01-12T17:55:41,27.5,snow
2022-01-13,2.2,1.1,1.3,-2.5,-5.8,-4,69.7,0.212,100,8.33,"rain,snow",0.1,1.9,47.9,21.7,1030,89.5,9.8,41.3,3.5,2,10,2022-01-13T08:25:49,2022-01-13T17:56:46,27.6,snow
2022-01-14,5.1,-1.8,2.2,2.1,-4.4,-1,70.3,0,0,0,,0,0.2,40.7,264.9,1024.4,30.5,10.3,128.4,11.3,5,10,2022-01-14T08:25:27,2022-01-14T17:57:52,27.8,partly-cloudy-day
2022-01-15,8.2,1.4,5.6,4.8,-0.6,2.9,66.3,0,0,0,"rain,snow",0.1,0.5,40,343.7,1019.1,48.2,10.3,75.6,6.5,4,10,2022-01-15T08:25:04,2022-01-15T17:58:59,28,partly-cloudy-day
2022-01-16,7.2,0.2,3.6,4.5,-3.8,1.5,72.3,0.884,100,12.5,"rain,snow",0.1,0.7,34.2,352.4,1025.9,54.4,10.2,56.9,4.9,2,10,2022-01-16T08:24:38,2022-01-16T18:00:08,28.2,snow
2022-01-17,8.3,-0.7,4.8,4.6,-2.1,1.8,64.9,0,0,0,,0,0.6,47.2,222.7,1021.8,44.1,10.4,122.5,10.5,5,10,2022-01-17T08:24:10,2022-01-17T18:01:16,28.4,partly-cloudy-day
2022-01-18,9,1.2,5.3,6.1,-0.9,2.2,63.3,2.088,100,8.33,"rain,snow",0.1,0,49.3,317.2,1020.2,84.6,10.1,56.4,4.9,2,10,2022-01-18T08:23:40,2022-01-18T18:02:26,28.6,snow
2022-01-19,4,0,2,0,-4.7,-1.8,61.3,0.813,100,12.5,"rain,snow",0.7,0.6,47.9,354.5,1028.9,73.9,9.8,63.4,5.5,3,10,2022-01-19T08:23:08,2022-01-19T18:03:36,28.8,snow
2022-01-20,8.1,0.1,4.2,4.6,-3,0.8,58.5,0,0,0,,0,0.1,42.8,207.2,1025.1,40,10.4,138.7,12.1,5,10,2022-01-20T08:22:33,2022-01-20T18:04:47,29,partly-cloudy-day
2022-01-21,10.2,0.2,5.9,10.2,-3.6,3.6,78.3,15.691,100,12.5,"rain,snow",1.6,0.6,48.2,205.2,1017.7,74.3,8.5,38.5,3.3,3,10,2022-01-21T08:21:57,2022-01-21T18:05:59,29.2,snow
2022-01-22,1.2,0.1,0.5,1.2,-4,-1.9,89.4,8.262,100,12.5,snow,2.2,4.2,31.3,347.6,1017,89.5,5.2,23.3,2,1,10,2022-01-22T08:21:18,2022-01-22T18:07:11,29.4,snow
2022-01-23,2.1,-2.7,-0.4,-0.9,-6.3,-3.9,85.2,1.666,100,12.5,"rain,snow",1.9,7.3,43.6,347.3,1018.3,86.6,7.5,54.6,4.7,4,10,2022-01-23T08:20:38,2022-01-23T18:08:23,29.6,snow
2022-01-24,1.2,-4.5,-0.5,-1,-6,-3.1,92.6,4.875,100,16.67,"rain,snow",0.3,7.1,35.2,321,1023.9,89.2,7.2,69,6.1,2,10,2022-01-24T08:19:56,2022-01-24T18:09:36,29.9,snow
2022-01-25,0.2,-0.8,-0.1,-2.3,-6.4,-4.8,87.9,14.987,100,12.5,"rain,snow",3.8,10.8,36,10.4,1026,88.2,7.5,98.3,8.4,3,10,2022-01-25T08:19:11,2022-01-25T18:10:49,30.1,snow
2022-01-26,2.2,-2.8,0.2,1.2,-7.7,-3,74.2,3.253,100,16.67,"rain,snow",2.9,8.8,31.7,4.9,1022.9,83,9.5,101.5,8.7,4,10,2022-01-26T08:18:25,2022-01-26T18:12:03,30.4,snow
2022-01-27,4.2,1.1,2.7,1.5,-1.1,0.5,78.6,2.872,100,12.5,"rain,snow",0.9,6.8,27.7,251.1,1024.4,89.2,9.8,43.3,3.6,2,10,2022-01-27T08:17:36,2022-01-27T18:13:17,30.6,snow
2022-01-28,7.1,0.2,3.8,3.8,-0.5,1.7,70.9,0.045,100,4.17,"rain,snow",0,4.8,34.9,196.8,1021.6,43.1,10.1,149.1,12.9,5,10,2022-01-28T08:16:46,2022-01-28T18:14:31,30.9,rain
2022-01-29,7.2,3.2,5.4,6.1,0.4,3.8,71.8,9.243,100,4.17,rain,0,3.2,23,82.9,1022.2,72.6,10.3,87.2,7.5,4,10,2022-01-29T08:15:54,2022-01-29T18:15:45,31.1,rain
2022-01-30,7.1,-0.7,4.1,4,-3.5,1.6,76.3,0,0,0,,0,2.5,42.5,244,1017.2,52.8,10.3,127.9,11.2,5,10,2022-01-30T08:15:00,2022-01-30T18:17:00,31.4,partly-cloudy-day
2022-01-31,8.4,4.1,6.5,6.3,2.8,4.6,65.7,0,0,0,rain,0,1.5,43.6,249.6,1013,40.4,10.4,104.8,9.1,5,10,2022-01-31T08:14:05,2022-01-31T18:18:14,31.7,partly-cloudy-day
